"question","expected_answer","expected_source","expected_page","subject","is_out_of_scope","category"
"Triết học được giáo trình khái quát là gì?","Triết học là hệ thống tri thức lý luận chung nhất của con người về thế giới, về vị trí và vai trò của con người trong thế giới ấy.","75770b9b-cdbf-4038-90e2-f25e1f4426fe_triethocmaclenin.pdf","4","Triết học Mác - Lênin","false","definition"
"Triết học ra đời từ những nguồn gốc nào?","Triết học ra đời từ thực tiễn, do nhu cầu của thực tiễn, với nguồn gốc nhận thức và nguồn gốc xã hội.","75770b9b-cdbf-4038-90e2-f25e1f4426fe_triethocmaclenin.pdf","4","Triết học Mác - Lênin","false","cause"
"Vì sao triết học thời cổ đại từng được xem là khoa học của mọi khoa học?","Vì khi mới ra đời, triết học được xem là hình thái cao nhất của tri thức, bao hàm tri thức về hầu hết các lĩnh vực và chưa có đối tượng riêng tách biệt.","75770b9b-cdbf-4038-90e2-f25e1f4426fe_triethocmaclenin.pdf","4","Triết học Mác - Lênin","false","history"
"Triết học Mác xác định đối tượng nghiên cứu của mình như thế nào?","Triết học Mác tiếp tục giải quyết quan hệ giữa vật chất và ý thức trên lập trường duy vật triệt để, đồng thời nghiên cứu các quy luật chung nhất của tự nhiên, xã hội và tư duy.","75770b9b-cdbf-4038-90e2-f25e1f4426fe_triethocmaclenin.pdf","5","Triết học Mác - Lênin","false","definition"
"Vấn đề cơ bản của triết học gồm mấy mặt?","Vấn đề cơ bản của triết học gồm hai mặt: quan hệ giữa vật chất và ý thức, và khả năng con người nhận thức thế giới.","75770b9b-cdbf-4038-90e2-f25e1f4426fe_triethocmaclenin.pdf","6","Triết học Mác - Lênin","false","listing"
"Mặt thứ nhất của vấn đề cơ bản của triết học hỏi điều gì?","Mặt thứ nhất hỏi giữa ý thức và vật chất cái nào có trước, cái nào có sau và cái nào quyết định cái nào.","75770b9b-cdbf-4038-90e2-f25e1f4426fe_triethocmaclenin.pdf","6","Triết học Mác - Lênin","false","definition"
"Mặt thứ hai của vấn đề cơ bản của triết học hỏi điều gì?","Mặt thứ hai hỏi con người có khả năng nhận thức được thế giới hay không.","75770b9b-cdbf-4038-90e2-f25e1f4426fe_triethocmaclenin.pdf","6","Triết học Mác - Lênin","false","definition"
"Thế giới quan là gì?","Thế giới quan là toàn bộ những quan niệm của con người về thế giới, về bản thân con người, về cuộc sống và vị trí của con người trong thế giới đó.","75770b9b-cdbf-4038-90e2-f25e1f4426fe_triethocmaclenin.pdf","6","Triết học Mác - Lênin","false","definition"
"Ba loại hình thế giới quan cơ bản theo quá trình phát triển là gì?","Ba loại hình cơ bản là thế giới quan huyền thoại, thế giới quan tôn giáo và thế giới quan triết học.","75770b9b-cdbf-4038-90e2-f25e1f4426fe_triethocmaclenin.pdf","6","Triết học Mác - Lênin","false","listing"
"Chủ nghĩa duy vật và chủ nghĩa duy tâm được phân biệt chủ yếu theo tiêu chuẩn nào?","Chúng được phân biệt theo cách trả lời vấn đề giữa vật chất và ý thức cái nào có trước, cái nào quyết định cái nào.","75770b9b-cdbf-4038-90e2-f25e1f4426fe_triethocmaclenin.pdf","7","Triết học Mác - Lênin","false","comparison"
