question,expected_answer,expected_source,expected_page,subject,is_out_of_scope,category,difficulty,concept_id,chapter,evidence_quote
Protein được tổng hợp trong tế bào như thế nào?,Tôi chưa tìm thấy thông tin này trong tài liệu đã được huấn luyện.,,,Triết học Mác - Lênin,True,out_of_scope,MEDIUM,b12b4d4eef0dfcfa5ed6,OUT_OF_SCOPE,
Nguyên lý hoạt động của động cơ đốt trong là gì?,Tôi chưa tìm thấy thông tin này trong tài liệu đã được huấn luyện.,,,Triết học Mác - Lênin,True,out_of_scope,MEDIUM,52b48dec7fb83a4b6aec,OUT_OF_SCOPE,
Luật việt vị trong bóng đá được áp dụng như thế nào?,Tôi chưa tìm thấy thông tin này trong tài liệu đã được huấn luyện.,,,Triết học Mác - Lênin,True,out_of_scope,MEDIUM,634b7b6d4c10896e5178,OUT_OF_SCOPE,
Mã hóa khóa công khai RSA hoạt động ra sao?,Tôi chưa tìm thấy thông tin này trong tài liệu đã được huấn luyện.,,,Triết học Mác - Lênin,True,out_of_scope,MEDIUM,e48c591ea1a4edaef093,OUT_OF_SCOPE,
Hàm băm SHA-256 có đặc điểm gì?,Tôi chưa tìm thấy thông tin này trong tài liệu đã được huấn luyện.,,,Triết học Mác - Lênin,True,out_of_scope,MEDIUM,1e9f560ea1479dabe371,OUT_OF_SCOPE,
Cơ sở dữ liệu NoSQL khác SQL như thế nào?,Tôi chưa tìm thấy thông tin này trong tài liệu đã được huấn luyện.,,,Triết học Mác - Lênin,True,out_of_scope,MEDIUM,18e5e9e8adef07187cb3,OUT_OF_SCOPE,
Wi-Fi 6 cải thiện hiệu năng bằng cách nào?,Tôi chưa tìm thấy thông tin này trong tài liệu đã được huấn luyện.,,,Triết học Mác - Lênin,True,out_of_scope,MEDIUM,53712d97b03698f51349,OUT_OF_SCOPE,
Tế bào nhân sơ khác tế bào nhân thực ra sao?,Tôi chưa tìm thấy thông tin này trong tài liệu đã được huấn luyện.,,,Triết học Mác - Lênin,True,out_of_scope,MEDIUM,20d31ad22a08d369e61e,OUT_OF_SCOPE,
Công thức tính lãi suất kép là gì?,Tôi chưa tìm thấy thông tin này trong tài liệu đã được huấn luyện.,,,Triết học Mác - Lênin,True,out_of_scope,MEDIUM,36226b5b9d76d079816a,OUT_OF_SCOPE,
Quy trình kiểm thử phần mềm gồm những giai đoạn nào?,Tôi chưa tìm thấy thông tin này trong tài liệu đã được huấn luyện.,,,Triết học Mác - Lênin,True,out_of_scope,MEDIUM,f2253050594986a56f94,OUT_OF_SCOPE,
