question,expected_answer,expected_source,expected_page,evidence_quote,chapter,is_out_of_scope,category,difficulty
"Vấn đề cơ bản của triết học gồm hai mặt nào?","Mặt thứ nhất hỏi vật chất và ý thức cái nào có trước, cái nào quyết định. Mặt thứ hai hỏi con người có khả năng nhận thức thế giới hay không.","75770b9b-cdbf-4038-90e2-f25e1f4426fe_triethocmaclenin.pdf",6,"Vấn đề cơ bản của triết học có hai mặt. Mặt thứ nhất: Giữa ý thức và vật chất thì cái nào có trước, cái nào có sau, cái nào quyết định cái nào? Mặt thứ hai: Con người có khả năng nhận thức được thế giới hay không?","Chương I",false,factual,EASY
"Ba phát minh khoa học tự nhiên nào là tiền đề quan trọng của triết học Mác?","Đó là định luật bảo toàn và chuyển hóa năng lượng, học thuyết tế bào và học thuyết tiến hóa của Đácuyn.","75770b9b-cdbf-4038-90e2-f25e1f4426fe_triethocmaclenin.pdf",52,"Ăngghen nêu bật ý nghĩa của ba phát minh lớn đối với sự hình thành triết học duy vật biện chứng: định luật bảo toàn và chuyển hóa năng lượng, thuyết tế bào và thuyết tiến hóa của Đácuyn.","Chương III",false,factual,MEDIUM
"Định nghĩa vật chất của V.I.Lênin nhấn mạnh thuộc tính cơ bản nào?","Vật chất là phạm trù triết học chỉ thực tại khách quan, tồn tại độc lập với ý thức, được con người tiếp nhận và phản ánh thông qua cảm giác.","75770b9b-cdbf-4038-90e2-f25e1f4426fe_triethocmaclenin.pdf",80,"Vật chất là một phạm trù triết học dùng để chỉ thực tại khách quan được đem lại cho con người trong cảm giác, được cảm giác của chúng ta chép lại, chụp lại, phản ánh.","Chương V",false,factual,EASY
"Từ quan hệ giữa vật chất và ý thức có thể rút ra nguyên tắc phương pháp luận nào?","Vật chất có trước và quyết định ý thức, nhưng ý thức tác động lại vật chất thông qua thực tiễn. Vì vậy phải xuất phát từ khách quan đồng thời phát huy tính năng động, sáng tạo của chủ thể.","75770b9b-cdbf-4038-90e2-f25e1f4426fe_triethocmaclenin.pdf",92,"Vật chất có trước, ý thức có sau, vật chất là nguồn gốc của ý thức, quyết định ý thức, song ý thức có thể tác động trở lại vật chất thông qua hoạt động thực tiễn của con người; vì vậy, con người phải tôn trọng khách quan, đồng thời phát huy tính năng động chủ quan của mình.","Chương V",false,synthesis,HARD
"Hai nguyên lý khái quát nhất của phép biện chứng duy vật là gì?","Đó là nguyên lý về mối liên hệ phổ biến và nguyên lý về sự phát triển.","75770b9b-cdbf-4038-90e2-f25e1f4426fe_triethocmaclenin.pdf",95,"Nguyên lý về mối liên hệ phổ biến và nguyên lý về sự phát triển là hai nguyên lý khái quát nhất.","Chương VI",false,factual,EASY
"Vì sao thống nhất và đấu tranh của các mặt đối lập là nguồn gốc của phát triển?","Sự thống nhất tạo trạng thái ổn định tương đối, còn đấu tranh giữa các mặt đối lập làm mâu thuẫn biến đổi và được giải quyết. Sự giải quyết ấy phá vỡ trạng thái cũ và tạo điều kiện cho sự vật mới ra đời.","75770b9b-cdbf-4038-90e2-f25e1f4426fe_triethocmaclenin.pdf",129,"Sự thống nhất gắn liền với sự đứng im, với sự ổn định tạm thời của sự vật. Sự đấu tranh gắn liền với tính tuyệt đối của sự vận động và phát triển.","Chương VIII",false,conceptual,MEDIUM
"Thực tiễn giữ vai trò gì đối với nhận thức?","Thực tiễn là cơ sở, động lực và mục đích của nhận thức; nó cung cấp đối tượng, phương tiện, nhu cầu cho nhận thức, đồng thời là tiêu chuẩn kiểm nghiệm tính đúng đắn của chân lý.","75770b9b-cdbf-4038-90e2-f25e1f4426fe_triethocmaclenin.pdf",140,"Thực tiễn là cơ sở, động lực, mục đích của nhận thức và còn đóng vai trò là tiêu chuẩn để kiểm tra chân lý.","Chương IX",false,conceptual,MEDIUM
"Nhận thức cảm tính khác nhận thức lý tính ở điểm nào và chúng liên hệ ra sao?","Nhận thức cảm tính phản ánh trực tiếp qua cảm giác, tri giác, biểu tượng; nhận thức lý tính phản ánh gián tiếp và bản chất qua khái niệm, phán đoán, suy lý. Hai giai đoạn liên hệ và chuyển hóa trong quá trình nhận thức.","75770b9b-cdbf-4038-90e2-f25e1f4426fe_triethocmaclenin.pdf",141,"Cảm giác, tri giác và biểu tượng là những giai đoạn kế tiếp nhau của hình thức nhận thức cảm tính. Tư duy trừu tượng là đặc trưng của giai đoạn nhận thức lý tính.","Chương IX",false,comparison,MEDIUM
"Luận điểm bản chất con người là tổng hòa những quan hệ xã hội có ý nghĩa gì?","Bản chất người không phải thuộc tính trừu tượng cố hữu của cá nhân biệt lập mà được hình thành trong hệ thống quan hệ lịch sử cụ thể giữa người với tự nhiên, xã hội và những người khác.","75770b9b-cdbf-4038-90e2-f25e1f4426fe_triethocmaclenin.pdf",205,"Bản chất con người không phải là một cái trừu tượng cố hữu của cá nhân riêng biệt. Trong tính hiện thực của nó, bản chất con người là tổng hòa những quan hệ xã hội.","Chương XIV",false,factual,MEDIUM
"Quy trình kiểm thử phần mềm gồm những giai đoạn nào?","Tôi chưa tìm thấy thông tin này trong tài liệu đã được huấn luyện.",,,,"OUT_OF_SCOPE",true,out_of_scope,MEDIUM
