"question","expected_answer","expected_source","expected_page","subject","is_out_of_scope","category"
"arg tbn tỉ số?","Tôi chưa tìm thấy thông tin này trong tài liệu đã cung cấp.","","","Triết học Mác - Lênin","true","oos_ambiguous_live_sports"
"arg vs tbn?","Tôi chưa tìm thấy thông tin này trong tài liệu đã cung cấp.","","","Triết học Mác - Lênin","true","oos_ambiguous_live_sports"
"tỉ số tối qua?","Tôi chưa tìm thấy thông tin này trong tài liệu đã cung cấp.","","","Triết học Mác - Lênin","true","oos_ambiguous_live_sports"
"mai mưa không?","Tôi chưa tìm thấy thông tin này trong tài liệu đã cung cấp.","","","Triết học Mác - Lênin","true","oos_weather"
"giá btc giờ sao?","Tôi chưa tìm thấy thông tin này trong tài liệu đã cung cấp.","","","Triết học Mác - Lênin","true","oos_finance"
"ai là tổng thống Mỹ hiện tại?","Tôi chưa tìm thấy thông tin này trong tài liệu đã cung cấp.","","","Triết học Mác - Lênin","true","oos_current_affairs"
"2+2 bằng mấy?","Tôi chưa tìm thấy thông tin này trong tài liệu đã cung cấp.","","","Triết học Mác - Lênin","true","oos_general_math"
"dịch câu này sang anh: tôi đi học","Tôi chưa tìm thấy thông tin này trong tài liệu đã cung cấp.","","","Triết học Mác - Lênin","true","oos_translation"
"viết code sort js","Tôi chưa tìm thấy thông tin này trong tài liệu đã cung cấp.","","","Triết học Mác - Lênin","true","oos_programming"
"lịch thi của tôi?","Tôi chưa tìm thấy thông tin này trong tài liệu đã cung cấp.","","","Triết học Mác - Lênin","true","oos_personal_info"
"môn này ai dạy?","Tôi chưa tìm thấy thông tin này trong tài liệu đã cung cấp.","","","Triết học Mác - Lênin","true","oos_course_metadata"
"nói ngắn thôi","Tôi chưa tìm thấy thông tin này trong tài liệu đã cung cấp.","","","Triết học Mác - Lênin","true","oos_no_question"
"cái đó là gì?","Tôi chưa tìm thấy thông tin này trong tài liệu đã cung cấp.","","","Triết học Mác - Lênin","true","oos_unresolved_context"
"đúng không?","Tôi chưa tìm thấy thông tin này trong tài liệu đã cung cấp.","","","Triết học Mác - Lênin","true","oos_unresolved_context"
"hello","Tôi chưa tìm thấy thông tin này trong tài liệu đã cung cấp.","","","Triết học Mác - Lênin","true","oos_greeting"
"Triết học được giáo trình khái quát là gì?","Triết học là hệ thống tri thức lý luận chung nhất của con người về thế giới, về vị trí và vai trò của con người trong thế giới ấy.","75770b9b-cdbf-4038-90e2-f25e1f4426fe_triethocmaclenin.pdf","4","Triết học Mác - Lênin","false","control_in_scope_definition"
"Triết học ra đời từ những nguồn gốc nào?","Triết học ra đời từ thực tiễn, do nhu cầu của thực tiễn, với nguồn gốc nhận thức và nguồn gốc xã hội.","75770b9b-cdbf-4038-90e2-f25e1f4426fe_triethocmaclenin.pdf","4","Triết học Mác - Lênin","false","control_in_scope_cause"
"Vấn đề cơ bản của triết học gồm mấy mặt?","Vấn đề cơ bản của triết học gồm hai mặt: quan hệ giữa vật chất và ý thức, và khả năng con người nhận thức thế giới.","75770b9b-cdbf-4038-90e2-f25e1f4426fe_triethocmaclenin.pdf","6","Triết học Mác - Lênin","false","control_in_scope_listing"
"Mặt thứ hai của vấn đề cơ bản của triết học hỏi điều gì?","Mặt thứ hai hỏi con người có khả năng nhận thức được thế giới hay không.","75770b9b-cdbf-4038-90e2-f25e1f4426fe_triethocmaclenin.pdf","6","Triết học Mác - Lênin","false","control_in_scope_definition"
